,id,year,make,model,trim1,trim2,make_model
5211,c92229529657,2014.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
5270,cbc77c2f0d51,2014.0,Audi,S4,S4,3.0T quattro Premium Plus,Audi_S4
5278,cc3b73ed9597,2013.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
5282,cc50a0d959e1,2012.0,Audi,A6,A6,3.0T quattro Prestige,Audi_A6
5293,ccf91b5711d0,2013.0,Audi,A8,A8,3.0T quattro NWB,Audi_A8
5357,cf5add31c130,2011.0,Audi,A8 L,A8 L,quattro w/Premium Pkg,Audi_A8 L
5403,d0e1e76af411,2012.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
5409,d14fe2d482ae,2012.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
5481,d4079904fc83,2014.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
5493,d47c65912778,2015.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
5559,d722601f7389,2012.0,Audi,A6,A6,3.0T quattro Premium,Audi_A6
5632,d9f68d83d7c8,2013.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
5673,dbd00769aee2,2014.0,Audi,A5,A5,2.0T Premium Plus,Audi_A5
5743,ddd2f1629897,2014.0,Audi,Q7,Q7,3.0T quattro Premium,Audi_Q7
5751,de3ca5ec1e59,2016.0,Audi,Q3,Q3,2.0T quattro Prestige,Audi_Q3
5802,e05b96cc2b0d,2014.0,Audi,S5,S5,3.0T quattro Premium Plus,Audi_S5
5876,e40612f71f84,2014.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
5921,e5fc2c1c4a8b,2013.0,Audi,A7,A7,3.0T quattro Prestige,Audi_A7
5991,e8efb3e16a9d,2012.0,Audi,A6,A6,2.0T Premium Plus,Audi_A6
6140,eec333f59dc5,2014.0,Audi,SQ5,SQ5,3.0T quattro Premium Plus,Audi_SQ5
6168,eff3338e73f7,2014.0,Audi,Allroad,Allroad,2.0T quattro Premium Plus,Audi_Allroad
6215,f1f241571948,2010.0,Audi,A5,A5,2.0T quattro Prestige w/ Prestige Pkg,Audi_A5
6301,f591b4f2e006,2013.0,Audi,A8,A8,3.0T quattro LWB,Audi_A8
6321,f66eee364afe,2015.0,Audi,S3,S3,2.0T quattro Prestige,Audi_S3
6402,f93a4878aedb,2014.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
6442,fa8889dd5485,2014.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
6547,feaf59172a01,2016.0,Audi,Q3,Q3,2.0T quattro Prestige,Audi_Q3
5,001a04be361e,2014.0,BMW,3 Series,3 Series,320i,BMW_3 Series
6,002a1d2005bb,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
8,00322b309335,2013.0,BMW,1 Series,1 Series,128i w/ Premium Pkg,BMW_1 Series
97,03a80eb7d8b3,2013.0,BMW,5 Series,5 Series,535i xDrive,BMW_5 Series
154,062726cc4268,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
224,092d3e96b6f5,2014.0,BMW,3 Series,3 Series,320i xDrive,BMW_3 Series
255,0aa83daa6f78,2013.0,BMW,X5,X5,xDrive35i Premium,BMW_X5
322,0dc831fb95b1,2012.0,BMW,1 Series,1 Series,135i,BMW_1 Series
338,0e1a091d1b8a,2013.0,BMW,Z4,Z4,sDrive35i,BMW_Z4
343,0e5c7b1b2021,2013.0,BMW,5 Series,5 Series,550i xDrive W/ M Sport Pkg,BMW_5 Series
359,0eeaf1ff136d,2014.0,BMW,5 Series,5 Series,528i,BMW_5 Series
373,0f592813cf02,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
374,0f84ea8711da,2013.0,BMW,X1,X1,xDrive28i,BMW_X1
410,1191c7e4c7ba,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
432,126d07c272ea,2016.0,BMW,2 Series,2 Series,228i,BMW_2 Series
492,14ba5fd62329,2013.0,BMW,X1,X1,xDrive28i W/ Premium Pkg,BMW_X1
514,1595b5548793,2013.0,BMW,3 Series,3 Series,328i w/ Premium Pkg,BMW_3 Series
547,17107138eeea,2014.0,BMW,X5,X5,xDrive35i,BMW_X5
678,1c9e65365050,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
709,1d5f8162a4bc,2013.0,BMW,X1,X1,xDrive28i w/ Ultimate Pkg,BMW_X1
712,1d84d4704ce3,2013.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
729,1e1369502e56,2013.0,BMW,3 Series,3 Series,328i Premium,BMW_3 Series
741,1e74442fff63,2013.0,BMW,3 Series,3 Series,335i xDrive,BMW_3 Series
768,1f88ee3dbe3e,2010.0,BMW,X5 M,X5 M,Base W/ Climate Pkg,BMW_X5 M
844,226fb9cd97c8,2014.0,BMW,Z4,Z4,sDrive28i,BMW_Z4
1002,28673743096d,2014.0,BMW,i3,i3,Base,BMW_i3
1005,288a28207917,2015.0,BMW,3 Series,3 Series,320i xDrive,BMW_3 Series
1036,298f5406acf0,2012.0,BMW,5 Series,5 Series,550i Gran Turismo,BMW_5 Series
1089,2b1fce345758,2014.0,BMW,X6,X6,xDrive35i w/Premium Pkg,BMW_X6
1091,2b377d14a6f7,2013.0,BMW,X3,X3,xDrive28i,BMW_X3
1103,2bd7a01d9937,2012.0,BMW,3 Series,3 Series,335i,BMW_3 Series
1167,2ddfe5d23c1e,2013.0,BMW,3 Series,3 Series,320i W/ Premium Pkg,BMW_3 Series
1190,2ea62c1beee7,2009.0,BMW,1 Series,1 Series,135i,BMW_1 Series
1220,2f651ac830ea,2015.0,BMW,5 Series,5 Series,535i w/Premium Pkg,BMW_5 Series
1314,3364e55bac98,2015.0,BMW,4 Series,4 Series,428i,BMW_4 Series
1353,3546f4e6846f,2015.0,BMW,3 Series,3 Series,328i,BMW_3 Series
1381,361760dd316b,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
1524,3af53d30f15b,2014.0,BMW,7 Series,7 Series,750Li w/Executive Pkg,BMW_7 Series
1555,3c1e9da3a3aa,2014.0,BMW,3 Series,3 Series,328d xDrive,BMW_3 Series
1572,3cd70ef1bdaf,2012.0,BMW,3 Series,3 Series,335i Sport Line W/ Premium Pkg,BMW_3 Series
1587,3d7a1030deeb,2016.0,BMW,X3,X3,xDrive28i,BMW_X3
1595,3dc0608a9335,2013.0,BMW,5 Series,5 Series,528i xDrive w/ Premium Pkg,BMW_5 Series
1631,3f4998e9d6d9,2012.0,BMW,5 Series,5 Series,550i Gran Turismo,BMW_5 Series
1647,3fa7f3e67525,2013.0,BMW,X1,X1,sDrive28i,BMW_X1
1651,3fdce9d37478,2013.0,BMW,X3,X3,xDrive28i,BMW_X3
1654,3ff8cedf8fb4,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
1747,437d40548855,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
2051,4e9a69ed1d4c,2012.0,BMW,M6,M6,Base W/ Driver Assist Pkg,BMW_M6
2080,4f7ecdb5142d,2012.0,BMW,X3,X3,xDrive35i,BMW_X3
2131,51c4ed704179,2014.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
2132,51d7c6e25458,2013.0,BMW,X1,X1,xDrive28i,BMW_X1
2301,59fbffc0c0b9,2014.0,BMW,5 Series,5 Series,535i xDrive,BMW_5 Series
2304,5a37d5a95fea,2015.0,BMW,X1,X1,sDrive28i,BMW_X1
2332,5b1fa48bb5b1,2013.0,BMW,1 Series,1 Series,135i,BMW_1 Series
2387,5daad2616665,2013.0,BMW,3 Series,3 Series,320i w/Premium Pkg,BMW_3 Series
2435,5fb012d30fd9,2014.0,BMW,4 Series,4 Series,435i xDrive,BMW_4 Series
2437,5fbc973d8fb5,2014.0,BMW,6 Series,6 Series,640i xDrive Gran Coupe,BMW_6 Series
2439,5fcd39e1b130,2013.0,BMW,5 Series,5 Series,528i w/Premium Pkg,BMW_5 Series
2471,6130ab025169,2013.0,BMW,3 Series,3 Series,328i w/Tech Pkg,BMW_3 Series
2495,620a6f673d66,2014.0,BMW,6 Series,6 Series,650i xDrive w/M Sport Pkg,BMW_6 Series
2548,6442b4d1914f,2013.0,BMW,5 Series,5 Series,528i,BMW_5 Series
2588,65a8c32bd0d6,2014.0,BMW,6 Series,6 Series,640i Gran Coupe,BMW_6 Series
2600,661e6b982dc3,2014.0,BMW,X1,X1,xDrive35i w/ Ultimate Pkg,BMW_X1
2626,6741ee2b5ebc,2014.0,BMW,X1,X1,sDrive28i,BMW_X1
2703,69fba9e8f572,2013.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
2723,6a6c69a20ac2,2013.0,BMW,X5,X5,xDrive35i W/ Convenience Pkg,BMW_X5
2737,6ae365af4e2a,2014.0,BMW,X5,X5,xDrive35i,BMW_X5
2743,6af823a2a243,2015.0,BMW,i3,i3,Base,BMW_i3
2764,6bc6061bd22e,2014.0,BMW,4 Series,4 Series,435i w/ M Sport Pkg,BMW_4 Series
2770,6be7edec4e8b,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
2777,6c21eb73ee91,2013.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
2798,6d2c74e987a1,2013.0,BMW,X5,X5,xDrive35d w/Premium Pkg,BMW_X5
2878,6ff4bbcf5088,2012.0,BMW,1 Series,1 Series,135i,BMW_1 Series
2879,6ff53ba50c55,2015.0,BMW,5 Series,5 Series,535i,BMW_5 Series
2908,71027d90049b,2015.0,BMW,3 Series,3 Series,328i xDrive  Cold Weather Pkg,BMW_3 Series
2927,71def195fd8a,2012.0,BMW,3 Series,3 Series,328i,BMW_3 Series
2942,72c2836001a9,2013.0,BMW,3 Series,3 Series,335i,BMW_3 Series
2965,7351c21fb7e5,2013.0,BMW,5 Series,5 Series,535i,BMW_5 Series
3004,74a3424bf796,2013.0,BMW,3 Series,3 Series,335i xDrive w/Premium Pkg,BMW_3 Series
3094,77fbf2af4072,2013.0,BMW,1 Series,1 Series,128i,BMW_1 Series
3132,795d2ee07ce2,2015.0,BMW,X1,X1,sDrive28i,BMW_X1
3154,79fda21f0470,2013.0,BMW,3 Series,3 Series,328i w/Premium Pkg,BMW_3 Series
3194,7bc428f69a01,2015.0,BMW,i3,i3,Base,BMW_i3
3239,7d8aa88e9d95,2013.0,BMW,3 Series,3 Series,328i W/ Premium Pkg,BMW_3 Series
3249,7e097d195756,2014.0,BMW,4 Series,4 Series,435i,BMW_4 Series
3327,8167f69dbb01,2013.0,BMW,3 Series,3 Series,328i w/Premium Pkg,BMW_3 Series
3402,846faa0eb79f,2014.0,BMW,X3,X3,xDrive35i w/ Premium Pkg,BMW_X3
3447,861e3426f6f6,2015.0,BMW,3 Series,3 Series,328i,BMW_3 Series
3537,89908c5dd553,2014.0,BMW,X3,X3,xDrive28i,BMW_X3
3633,8d5423cb763c,2016.0,BMW,4 Series,4 Series,428i Gran Coupe w/Driver Assistance Pkg,BMW_4 Series
3822,950cbf7962f7,2013.0,BMW,5 Series,5 Series,535i M-Sport,BMW_5 Series
3859,97028ce8c38b,2014.0,BMW,2 Series,2 Series,228i w/M Sport Line,BMW_2 Series
3866,975b0b1d6e4d,2015.0,BMW,3 Series,3 Series,335i xDrive,BMW_3 Series
3872,979e789a45f7,2013.0,BMW,Z4,Z4,sDrive35is w/ M Sport pkg,BMW_Z4
3873,97bfac3f4250,2013.0,BMW,X1,X1,xDrive28i w/Ultimate Pkg,BMW_X1
3903,98c75828e49b,2013.0,BMW,X5,X5,xDrive50i w/Premium Pkg,BMW_X5
3915,98f1a9aa2268,2014.0,BMW,3 Series,3 Series,320i xDrive,BMW_3 Series
3930,99748e44dcc0,2012.0,BMW,1 Series,1 Series,128i,BMW_1 Series
4065,9eb3d610f8a8,2016.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
4079,9f8c0f96df4f,2013.0,BMW,X1,X1,xDrive28i,BMW_X1
4082,9fa748e94ed3,2013.0,BMW,X5,X5,xDrive35i,BMW_X5
4156,a2962aeef47f,2015.0,BMW,X3,X3,sDrive28i,BMW_X3
4161,a2df64508b97,2014.0,BMW,X1,X1,xDrive35i,BMW_X1
4203,a484d9749a49,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
4222,a56f923399ca,2014.0,BMW,X3,X3,xDrive28i w/Premium Pkg,BMW_X3
4289,a7c1ef8d9cc9,2016.0,BMW,2 Series,2 Series,228i,BMW_2 Series
4332,a939cf258ee8,2014.0,BMW,3 Series,3 Series,320i xDrive w/Premium Pkg,BMW_3 Series
4378,aab9b68220e7,2015.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
4419,ac29c89424bf,2012.0,BMW,5 Series,5 Series,535i xDrive,BMW_5 Series
4422,ac3f638cbe7f,2013.0,BMW,X6,X6,xDrive35i w/Premium Pkg,BMW_X6
4423,ac41bae63093,2013.0,BMW,5 Series,5 Series,535i  W/ Premium Pkg,BMW_5 Series
4473,ada63799a271,2013.0,BMW,3 Series,3 Series,328i w/Premium Pkg,BMW_3 Series
4517,aec2623b0276,2013.0,BMW,5 Series,5 Series,528i Premium Pkg,BMW_5 Series
4545,afea6fd186d3,2013.0,BMW,X3,X3,xDrive28i,BMW_X3
4556,b060b8490676,2008.0,BMW,M3,M3,Base,BMW_M3
4580,b169be02b9d7,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
4583,b1864026468d,2011.0,BMW,3 Series,3 Series,335i,BMW_3 Series
4586,b1b8fe37d553,2014.0,BMW,X1,X1,sDrive28i,BMW_X1
4606,b25ea9d4cfbb,2014.0,BMW,X1,X1,sDrive28i,BMW_X1
4632,b33123d1fd29,2014.0,BMW,4 Series,4 Series,428i w/  Sport line package,BMW_4 Series
4652,b3f9fea2dddf,2015.0,BMW,X1,X1,xDrive28i,BMW_X1
4684,b50ee0d17ba1,2013.0,BMW,3 Series,3 Series,328i w/Premium Pkg,BMW_3 Series
4743,b7c96cd95df1,2013.0,BMW,3 Series,3 Series,328i xDrive w/Premium Pkg,BMW_3 Series
4780,b966d686887d,2013.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
4801,ba33a42e83a9,2013.0,BMW,M3,M3,Base,BMW_M3
4805,ba68fc0ffe88,2012.0,BMW,5 Series,5 Series,535i,BMW_5 Series
4825,bb19c62bb9b2,2013.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
4827,bb21bd831346,2013.0,BMW,X5,X5,xDrive35i Premium W/ Convenience Pkg,BMW_X5
4875,bd26acf8d500,2013.0,BMW,3 Series,3 Series,328i xDrive Premium Pkg,BMW_3 Series
4885,bd8d5780ed04,2015.0,BMW,X4,X4,xDrive28i,BMW_X4
4888,bd974c42a9ad,2013.0,BMW,X1,X1,xDrive35i,BMW_X1
4903,bde2b23fa9ee,2013.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
4904,bde6e2f53ccd,2012.0,BMW,X3,X3,xDrive28i,BMW_X3
4946,bf90f56d0e9f,2013.0,BMW,3 Series,3 Series,335is  w/ Premium Pkg,BMW_3 Series
4948,bf93cff3950a,2013.0,BMW,5 Series,5 Series,535i,BMW_5 Series
4949,bf9932f7aca8,2013.0,BMW,1 Series,1 Series,128i,BMW_1 Series
4954,bfaee56f3829,2014.0,BMW,3 Series,3 Series,328i xDrive,BMW_3 Series
4998,c1bafe0f3fd3,2015.0,BMW,X1,X1,xDrive35i,BMW_X1
5007,c224585d3bd1,2013.0,BMW,X5,X5,xDrive35i Sport Activity,BMW_X5
5025,c2c6248228df,2013.0,BMW,5 Series,5 Series,528i w/ Premium Pkg,BMW_5 Series
5078,c465038dc65e,2014.0,BMW,3 Series,3 Series,320i xDrive,BMW_3 Series
5142,c6f1b1bd75de,2014.0,BMW,7 Series,7 Series,750Li,BMW_7 Series
5156,c74660bef2a1,2013.0,BMW,3 Series,3 Series,335i,BMW_3 Series
5178,c80c28b0eeed,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
5207,c8e4fad8359b,2014.0,BMW,4 Series,4 Series,428i,BMW_4 Series
5395,d095560cb767,2013.0,BMW,X5,X5,xDrive50i,BMW_X5
5401,d0c0e0aceab7,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
5415,d1b4463f52c9,2012.0,BMW,5 Series,5 Series,535i,BMW_5 Series
5500,d4dc80a917ed,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
5529,d58f22d8dfef,2015.0,BMW,X4,X4,xDrive28i,BMW_X4
5532,d5b4208a7663,2014.0,BMW,3 Series,3 Series,320i,BMW_3 Series
5582,d7e659e516d2,2013.0,BMW,3 Series,3 Series,335i xDrive,BMW_3 Series
5595,d870445bd412,2014.0,BMW,4 Series,4 Series,428i xDrive,BMW_4 Series
5613,d964af1e2aa2,2015.0,BMW,3 Series,3 Series,320i w/ Premium Pkg,BMW_3 Series
5638,da2a423327c7,2014.0,BMW,3 Series,3 Series,335i xDrive Gran Turismo W/Premium Pkg,BMW_3 Series
5732,dd877dd9f2c5,2012.0,BMW,7 Series,7 Series,740i,BMW_7 Series
5780,df478f57c8a1,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
5781,df498fd5b28d,2014.0,BMW,3 Series,3 Series,335i xDrive Gran Turismo,BMW_3 Series
5782,df4ea9c68d5b,2013.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
5816,e1229478a402,2013.0,BMW,3 Series,3 Series,328i W/ Premium Pkg,BMW_3 Series
5825,e1c9f08b614f,2014.0,BMW,i3,i3,Base w/ Range Extender,BMW_i3
5836,e2230d0ceb02,2013.0,BMW,6 Series,6 Series,650i xDrive,BMW_6 Series
5838,e24ee4eccccf,2011.0,BMW,X3,X3,xDrive28i,BMW_X3
5851,e2c8143830a8,2014.0,BMW,3 Series,3 Series,320i w/Premium Pkg,BMW_3 Series
5883,e43f89718fcb,2013.0,BMW,3 Series,3 Series,320i w/Sport Pkg,BMW_3 Series
5894,e4b6cce2ef0f,2013.0,BMW,1 Series,1 Series,128i,BMW_1 Series
5971,e811401b5f62,2013.0,BMW,X5,X5,xDrive35d,BMW_X5
6004,e98d384a211f,2015.0,BMW,3 Series,3 Series,335i xDrive w/ Premium Pkg,BMW_3 Series
6033,eaff0ff4f05d,2013.0,BMW,3 Series,3 Series,328i Premium,BMW_3 Series
6089,ed2004ed8ff3,2014.0,BMW,5 Series,5 Series,528i xDrive,BMW_5 Series
6184,f0c7bbd8de46,2014.0,BMW,X1,X1,sDrive28i,BMW_X1
6196,f13ac2193535,2013.0,BMW,7 Series,7 Series,740Li xDrive,BMW_7 Series
6202,f18cf619b44a,2013.0,BMW,5 Series,5 Series,528i,BMW_5 Series
6228,f27133948a45,2013.0,BMW,3 Series,3 Series,335i xDrive,BMW_3 Series
6247,f34c0d4cac39,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
6248,f3572bf52d9c,2014.0,BMW,X1,X1,sDrive28i,BMW_X1
6254,f389f263eea1,2014.0,BMW,X3,X3,xDrive28i,BMW_X3
6278,f48040172c5f,2013.0,BMW,3 Series,3 Series,328i,BMW_3 Series
6355,f7a9c51b177f,2013.0,BMW,X5,X5,xDrive35i,BMW_X5
6361,f7d24c303ef8,2014.0,BMW,X6,X6,xDrive50i,BMW_X6
6385,f8c52f8e4923,2014.0,BMW,3 Series,3 Series,328i,BMW_3 Series
6409,f995578fa4c5,2014.0,BMW,X1,X1,xDrive28i,BMW_X1
6451,faedc93da4b6,2016.0,BMW,3 Series,3 Series,320i w/Premium Pkg,BMW_3 Series
6457,fb1c61d057ba,2015.0,BMW,3 Series,3 Series,328i,BMW_3 Series
6467,fb9ab7eb128c,2013.0,BMW,X5,X5,xDrive35i,BMW_X5
6486,fc38a525bf89,2013.0,BMW,3 Series,3 Series,335i,BMW_3 Series
6487,fc3bfc18bf9a,2014.0,BMW,5 Series,5 Series,535i xDrive,BMW_5 Series
6509,fce0ba5b8ed7,2013.0,BMW,Z4,Z4,sDrive35i,BMW_Z4
9,004b030cf28f,2013.0,Honda,Civic,Civic,LX,Honda_Civic
32,01540106ee74,2013.0,Honda,Accord,Accord,EX,Honda_Accord
39,01c4dca94aeb,2013.0,Honda,CR-V,CR-V,LX,Honda_CR-V
49,020d1dd32756,2014.0,Honda,Accord,Accord,Sport,Honda_Accord
61,0267b800546e,2013.0,Honda,Accord,Accord,LX,Honda_Accord
65,02b32471ed11,2014.0,Honda,Civic,Civic,Hybrid,Honda_Civic
68,02bbfca488bd,2014.0,Honda,CR-V,CR-V,EX,Honda_CR-V
96,039aae672564,2014.0,Honda,Civic,Civic,EX,Honda_Civic
128,0521bbb102e3,2012.0,Honda,Civic,Civic,EX,Honda_Civic
134,05753314241b,2014.0,Honda,Accord,Accord,LX,Honda_Accord
149,06061f57ba3a,2014.0,Honda,CR-V,CR-V,EX,Honda_CR-V
153,0625ffc3efdf,2015.0,Honda,Accord,Accord,EX-L,Honda_Accord
